REGION,LEVEL,STATE,TYPE,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020
NORTH,UNIVERSITY,CHIHUAHUA,PRIVATE,15298,16400,17534,16298,17678,18428,21135,22126
CENTER,ELEMENTARY,CIUDAD DE MÉXICO,PUBLIC,747662,733207,708803,708408,687533,674879,652661,643672
CENTER,ELEMENTARY,CIUDAD DE MÉXICO,PRIVATE,176740,174907,168180,171160,169584,168263,167182,162033
CENTER,JR HIGH,CIUDAD DE MÉXICO,PUBLIC,403365,415882,416141,408397,393125,381217,373208,366563
CENTER,JR HIGH,CIUDAD DE MÉXICO,PRIVATE,69934,71674,73065,73920,73160,71349,71441,70264
CENTER,HIGH SCHOOL,CIUDAD DE MÉXICO,PUBLIC,355814,370542,384225,386837,388259,385176,388415,386957
CENTER,HIGH SCHOOL,CIUDAD DE MÉXICO,PRIVATE,78737,87231,86652,86887,88992,88993,82153,79275
CENTER,UNIVERSITY,CIUDAD DE MÉXICO,PUBLIC,285015,295677,298000,303940,309445,314560,361723,369775
CENTER,UNIVERSITY,CIUDAD DE MÉXICO,PRIVATE,150851,164130,155734,153518,164588,167420,187694,190905
CENTER,ELEMENTARY,COAHUILA,PUBLIC,325533,322225,300123,298127,294236,289242,293215,293751
CENTER,ELEMENTARY,COAHUILA,PRIVATE,38222,39425,38447,39667,41196,42160,43898,44822
CENTER,JR HIGH,COAHUILA,PUBLIC,135460,135820,145992,148601,144910,132250,131663,131416
CENTER,JR HIGH,COAHUILA,PRIVATE,18183,19201,22336,23260,23711,22455,22519,22927
CENTER,HIGH SCHOOL,COAHUILA,PUBLIC,66693,66856,69502,76631,81580,94032,89111,86912
CENTER,HIGH SCHOOL,COAHUILA,PRIVATE,35114,36869,37348,37646,38045,40927,41817,39143
CENTER,UNIVERSITY,COAHUILA,PUBLIC,54976,57951,60427,62816,65729,69092,72913,75492
CENTER,UNIVERSITY,COAHUILA,PRIVATE,21807,23027,22824,24295,25445,26618,32402,36065
CENTER,ELEMENTARY,COLIMA,PUBLIC,74369,74849,74830,72702,71596,70610,68616,68278
CENTER,ELEMENTARY,COLIMA,PRIVATE,6139,5930,6016,6049,6180,6198,7441,7515
CENTER,JR HIGH,COLIMA,PUBLIC,30040,31139,32974,34819,35108,35234,32763,32125
CENTER,JR HIGH,COLIMA,PRIVATE,1978,1856,2269,2479,2555,2613,2523,2689
CENTER,HIGH SCHOOL,COLIMA,PUBLIC,22479,22048,22171,23141,23739,24748,25429,25890
CENTER,HIGH SCHOOL,COLIMA,PRIVATE,3296,5494,5308,5454,5293,5319,6085,6327
CENTER,UNIVERSITY,COLIMA,PUBLIC,15763,16385,17134,17496,17630,17742,19180,18970
CENTER,UNIVERSITY,COLIMA,PRIVATE,2433,2451,2299,1905,1756,1584,1775,2068
NORTH CENTER,ELEMENTARY,DURANGO,PUBLIC,214860,213385,206952,205868,205479,205273,207364,207484
NORTH CENTER,ELEMENTARY,DURANGO,PRIVATE,10659,10928,10975,11271,11842,12251,12398,13081
NORTH CENTER,JR HIGH,DURANGO,PUBLIC,91342,90715,95975,96322,96745,91892,89478,88565
NORTH CENTER,JR HIGH,DURANGO,PRIVATE,5561,5638,6138,6295,6454,6159,6212,6450
NORTH CENTER,HIGH SCHOOL,DURANGO,PUBLIC,67064,69907,71760,73066,69989,73663,69590,68652
NORTH CENTER,HIGH SCHOOL,DURANGO,PRIVATE,8343,8494,8995,9175,9023,9609,10874,10355
NORTH CENTER,UNIVERSITY,DURANGO,PUBLIC,29874,30854,33318,35165,36497,37951,41651,42341
NORTH CENTER,UNIVERSITY,DURANGO,PRIVATE,6862,6813,6643,7049,7305,7378,10066,10546
CENTER,ELEMENTARY,GUANAJUATO,PUBLIC,705407,691925,662803,651402,644508,640200,640899,637364
CENTER,ELEMENTARY,GUANAJUATO,PRIVATE,67549,68700,66827,67104,67909,68984,70671,70675
CENTER,JR HIGH,GUANAJUATO,PUBLIC,294071,299087,324483,327511,321439,298794,287832,281692
CENTER,JR HIGH,GUANAJUATO,PRIVATE,30814,32640,35086,35783,36443,34034,35252,34772
CENTER,HIGH SCHOOL,GUANAJUATO,PUBLIC,129577,136778,146708,157119,163923,179122,184249,187988
CENTER,HIGH SCHOOL,GUANAJUATO,PRIVATE,59289,71013,66809,73073,69932,74176,72127,65256
CENTER,UNIVERSITY,GUANAJUATO,PUBLIC,54103,58097,63200,68241,74575,81834,89897,94497
CENTER,UNIVERSITY,GUANAJUATO,PRIVATE,40162,40330,38840,44949,51148,55238,65368,66350
SOUTH,ELEMENTARY,GUERRERO,PUBLIC,498246,485430,473371,463636,450687,438474,432140,426931
SOUTH,ELEMENTARY,GUERRERO,PRIVATE,14782,14391,14742,15283,15690,15767,15785,15931
SOUTH,JR HIGH,GUERRERO,PUBLIC,196176,204039,211143,212034,206255,200907,193730,186233
SOUTH,JR HIGH,GUERRERO,PRIVATE,6730,7075,7688,7968,7962,7785,7691,7821
SOUTH,HIGH SCHOOL,GUERRERO,PUBLIC,119522,120294,129995,135113,138788,141756,140166,137101
SOUTH,HIGH SCHOOL,GUERRERO,PRIVATE,6203,7653,7548,7829,8025,8176,8059,8222
SOUTH,UNIVERSITY,GUERRERO,PUBLIC,45866,48772,51180,54707,57993,61857,64128,65208
SOUTH,UNIVERSITY,GUERRERO,PRIVATE,5680,5825,5299,7214,7973,8675,10432,12363
CENTER,ELEMENTARY,HIDALGO,PUBLIC,333577,331120,329011,327661,325523,323107,322501,318513
CENTER,ELEMENTARY,HIDALGO,PRIVATE,26701,27283,27760,28135,28965,29537,30482,30940
CENTER,JR HIGH,HIDALGO,PUBLIC,151056,155368,159506,161442,162136,162453,160585,159565
CENTER,JR HIGH,HIDALGO,PRIVATE,9088,9734,10417,10975,11379,11481,12135,12331
CENTER,HIGH SCHOOL,HIDALGO,PUBLIC,93494,92065,100295,108622,113895,120023,117329,119692
CENTER,HIGH SCHOOL,HIDALGO,PRIVATE,19755,24204,22493,20576,20337,18889,22126,21850
CENTER,UNIVERSITY,HIDALGO,PUBLIC,54066,58498,63014,67945,70609,74527,81977,85795
CENTER,UNIVERSITY,HIDALGO,PRIVATE,16201,16943,17543,16824,17763,18064,22281,21850
NORTH CENTER,ELEMENTARY,JALISCO,PUBLIC,866677,852362,837596,828116,823649,822048,823444,821019
NORTH CENTER,ELEMENTARY,JALISCO,PRIVATE,108672,107475,104581,105568,108395,109503,111977,113841
NORTH CENTER,JR HIGH,JALISCO,PUBLIC,364003,383564,403654,391496,384846,374324,366261,363423
NORTH CENTER,JR HIGH,JALISCO,PRIVATE,40401,43942,46550,50187,47018,45990,50069,50267
NORTH CENTER,HIGH SCHOOL,JALISCO,PUBLIC,218212,227036,232080,239618,244527,250945,254394,254090
NORTH CENTER,HIGH SCHOOL,JALISCO,PRIVATE,48473,66942,63811,68764,73151,78504,78803,70639
NORTH CENTER,UNIVERSITY,JALISCO,PUBLIC,119809,126918,135981,138927,142171,145792,159529,163678
NORTH CENTER,UNIVERSITY,JALISCO,PRIVATE,72422,76415,74579,74516,74338,73996,85678,86738
CENTER,ELEMENTARY,MÉXICO,PUBLIC,1796262,1787362,1779277,1767753,1745864,1719827,1698216,1665373
CENTER,ELEMENTARY,MÉXICO,PRIVATE,164972,167336,167199,168695,171373,171546,177679,176980
CENTER,JR HIGH,MÉXICO,PUBLIC,791936,814869,833296,836407,834233,834607,826113,819452
CENTER,JR HIGH,MÉXICO,PRIVATE,62646,65755,67096,68520,69156,69376,71465,72437
CENTER,HIGH SCHOOL,MÉXICO,PUBLIC,456480,463343,492356,519647,537398,553684,551757,558643
CENTER,HIGH SCHOOL,MÉXICO,PRIVATE,87689,104069,102819,99945,104985,104916,113263,112009
CENTER,UNIVERSITY,MÉXICO,PUBLIC,197788,211636,224886,238677,248796,262809,275966,273233
CENTER,UNIVERSITY,MÉXICO,PRIVATE,134446,141393,142561,146441,153171,158582,183600,187345
NORTH CENTER,ELEMENTARY,MICHOACÁN,PUBLIC,502196,514470,510550,506405,500415,497619,494279,487700
NORTH CENTER,ELEMENTARY,MICHOACÁN,PRIVATE,55110,55539,55313,55991,58724,59543,62693,63440
NORTH CENTER,JR HIGH,MICHOACÁN,PUBLIC,215574,220115,220777,218083,216501,216389,210631,201420
NORTH CENTER,JR HIGH,MICHOACÁN,PRIVATE,20017,20819,21285,21711,22925,23122,25197,25675
NORTH CENTER,HIGH SCHOOL,MICHOACÁN,PUBLIC,127311,132708,136029,135733,134762,136400,12878,130560
NORTH CENTER,HIGH SCHOOL,MICHOACÁN,PRIVATE,29975,40150,40587,38809,40390,40989,43591,36639
NORTH CENTER,UNIVERSITY,MICHOACÁN,PUBLIC,72018,71724,72932,76781,77195,77863,87946,88983
NORTH CENTER,UNIVERSITY,MICHOACÁN,PRIVATE,14002,14057,14372,17583,18511,18841,25316,24396
CENTER,ELEMENTARY,MORELOS,PUBLIC,199396,192341,189925,187407,184675,182951,177822,176734
CENTER,ELEMENTARY,MORELOS,PRIVATE,25716,25089,25017,25138,26114,26409,28853,28140
CENTER,JR HIGH,MORELOS,PUBLIC,87569,94292,96056,94986,90230,89244,87675,85784
CENTER,JR HIGH,MORELOS,PRIVATE,10584,11626,12011,12045,11695,11607,12081,12094
CENTER,HIGH SCHOOL,MORELOS,PUBLIC,52058,49698,53702,58519,57857,56940,58971,56749
CENTER,HIGH SCHOOL,MORELOS,PRIVATE,20238,24595,23303,24657,27394,28294,27445,24004
CENTER,UNIVERSITY,MORELOS,PUBLIC,27369,30340,34711,37184,40516,43365,46887,47240
CENTER,UNIVERSITY,MORELOS,PRIVATE,17107,13362,14126,13618,13997,14143,17555,18038
NORTH CENTER,ELEMENTARY,NAYARIT,PUBLIC,131327,128242,128259,128243,128864,128260,128553,130053
NORTH CENTER,ELEMENTARY,NAYARIT,PRIVATE,7980,8258,8334,8824,7911,7948,9585,9237
NORTH CENTER,JR HIGH,NAYARIT,PUBLIC,57732,61113,62317,61523,58313,57988,57777,58723
NORTH CENTER,JR HIGH,NAYARIT,PRIVATE,2617,3110,3402,3752,3598,3619,3960,3982
